municipality_id;cycle;analysis_year;capacity;estimated_places;max_enrolled;applications;admitted;num_centers;centers_names;estimated_need;coverage_ratio;is_covered;deficit
28083;primaria;2022-2023;707;117.83333333333333;707;29;111.33333333333334;2;Gloria Fuertes, San Sebastián;1119.6;0.6314755269739193;False;412.5999999999999
28083;eso;2022-2023;548;137.0;548;132;116;1;Gaspar Sanz;839.4;0.652847271860853;False;291.4
28181;infantil_i_ciclo;2022-2023;349;116.33333333333334;349;336;290;4;María Luisa Gefaell, Gandhi, Antusana, Juan Farias;523.2;0.6670489296636085;False;174.20000000000005
28181;infantil_ii_ciclo;2022-2023;344;114.66666666666666;344;78;75;3;Laura García Noblejas y Brunet, Gandhi, Hermanos García Noblejas;590.0;0.5830508474576271;False;246.0
28181;primaria;2022-2023;751;125.16666666666669;751;12;96.66666666666667;3;Laura García Noblejas y Brunet, Gandhi, Hermanos García Noblejas;1596.0;0.4705513784461153;False;845.0
28181;eso;2022-2023;512;128.0;512;125;110;1;Calatalifa;1393.0;0.36755204594400576;False;881.0
28182;infantil_i_ciclo;2022-2023;19;6.333333333333333;19;24;23;1;Villavieja de Lozoya;10.2;1.8627450980392157;True;0.0
28182;infantil_ii_ciclo;2022-2023;92;30.666666666666668;92;22;22;1;Peñalta;9.8;9.387755102040815;True;0.0
28182;primaria;2022-2023;208;34.666666666666664;208;2;30.333333333333332;1;Peñalta;15.6;13.333333333333334;True;0.0
28182;eso;2022-2023;96;24.0;96;1;0;1;Peñalta;8.2;11.707317073170733;True;0.0
28062;infantil_i_ciclo;2022-2023;46;15.333333333333332;46;50;47;2;El Cancionero, Lozoyuela;4.8;9.583333333333334;True;0.0
28062;infantil_ii_ciclo;2022-2023;178;59.333333333333336;178;52;52;2;Peñalta, CRA de Lozoyuela;5.6;31.78571428571429;True;0.0
28062;primaria;2022-2023;414;69.0;414;5;59.0;2;Peñalta, CRA de Lozoyuela;14.0;29.571428571428573;True;0.0
28062;eso;2022-2023;639;159.75;639;104;101;2;Peñalta, De la Cabrera;8.8;72.61363636363636;True;0.0
28091;infantil_i_ciclo;2022-2023;0;0.0;0;0;0;0;Ninguno;190.8;0.0;False;190.8
28091;infantil_ii_ciclo;2022-2023;209;69.66666666666667;209;54;54;1;Claudio Vázquez;208.8;1.0009578544061302;True;0.0
28091;primaria;2022-2023;489;81.5;489;3;70.33333333333333;1;Claudio Vázquez;512.4;0.9543325526932085;False;23.399999999999977
28091;eso;2022-2023;436;109.0;436;84;84;1;Vega del Tajuña;371.4;1.1739364566505117;True;0.0
28157;infantil_i_ciclo;2022-2023;25;8.333333333333334;25;19;19;1;Valdelaguna;28.2;0.8865248226950355;False;3.1999999999999993
28157;infantil_ii_ciclo;2022-2023;349;116.33333333333333;349;100;99;3;Hermanos Ortiz de Zárate, Belmonte de Tajo, Apis Aurelia;27.8;12.553956834532373;True;0.0
28157;primaria;2022-2023;832;138.66666666666669;832;8;110.66666666666666;3;Hermanos Ortiz de Zárate, Belmonte de Tajo, Apis Aurelia;58.4;14.246575342465754;True;0.0
28157;eso;2022-2023;721;180.25;721;161;155;2;Carpe Diem, Carpe Diem Colmenar Oreja;46.2;15.606060606060606;True;0.0
28164;infantil_i_ciclo;2022-2023;0;0.0;0;0;0;0;Ninguno;106.8;0.0;False;106.8
28164;infantil_ii_ciclo;2022-2023;116;38.666666666666664;116;20;18;1;Jesús Aramburu;120.2;0.9650582362728786;False;4.200000000000003
