municipality_id;analysis_year;municipality_name;total_centers;total_population_0_19;population_0_4;population_5_9;population_10_14;population_15_19;total_estimated_need;total_capacity;overall_coverage_ratio;cycles_with_need;cycles_covered;coverage_percentage;is_fully_covered;total_deficit;cycles_with_access;access_percentage;access_classification;has_basic_education;has_mandatory_education;missing_cycles
28126;2022-2023;Robregordo;2;9;1;3;3;2;7.3999999999999995;410;55.40540540540541;4;4;100.0;True;0.0;4;100.0;Acceso Completo;True;True;[]
28100;2022-2023;Nuevo Baztán;2;1472;265;348;410;449;1112.8;684;0.6146657081236521;4;0;0.0;False;428.79999999999995;4;100.0;Acceso Completo;True;True;[]
28149;2022-2023;Torrejón de la Calzada;6;2641;541;731;716;653;2118.6000000000004;1728;0.8156329651656753;4;1;25.0;False;390.60000000000036;4;100.0;Acceso Completo;True;True;[]
28001;2022-2023;La Acebeda;3;3;1;0;2;0;3.0;429;143.0;4;4;100.0;True;0.0;4;100.0;Acceso Completo;True;True;[]
28003;2022-2023;Alameda del Valle;5;42;11;11;10;10;34.0;770;22.647058823529413;4;4;100.0;True;0.0;4;100.0;Acceso Completo;True;True;[]
28011;2022-2023;Ambite;3;118;25;33;30;30;94.0;941;10.01063829787234;4;3;75.0;False;0.0;4;100.0;Acceso Completo;True;True;[]
28094;2022-2023;Navalafuente;6;387;75;115;108;89;315.79999999999995;1564;4.952501583280558;4;3;75.0;False;0.0;3;75.0;Acceso Bueno;True;True;['infantil_i_ciclo']
28056;2022-2023;Fresnedillas de la Oliva;2;420;92;99;131;98;341.59999999999997;390;1.1416861826697893;4;2;50.0;False;0.0;3;75.0;Acceso Bueno;True;True;['infantil_i_ciclo']
28028;2022-2023;Bustarviejo;6;570;87;148;191;144;454.80000000000007;1936;4.256816182937555;4;3;75.0;False;0.0;4;100.0;Acceso Completo;True;True;[]
28017;2022-2023;Batres;5;382;64;93;100;125;282.0;925;3.280141843971631;4;2;50.0;False;0.0;4;100.0;Acceso Completo;True;True;[]
28155;2022-2023;Valdaracete;3;108;21;20;28;39;76.80000000000001;837;10.898437499999998;4;4;100.0;True;0.0;4;100.0;Acceso Completo;True;True;[]
28036;2022-2023;Casarrubuelos;6;1008;179;247;299;283;781.6;1613;2.063715455475947;4;1;25.0;False;0.0;4;100.0;Acceso Completo;True;True;[]
28060;2022-2023;Fuentidueña de Tajo;3;430;92;104;112;122;332.4;813;2.4458483754512637;4;1;25.0;False;0.0;4;100.0;Acceso Completo;True;True;[]
28168;2022-2023;El Vellón;3;427;81;120;109;117;333.4;894;2.6814637072585485;4;2;50.0;False;0.0;4;100.0;Acceso Completo;True;True;[]
28146;2022-2023;Tielmes;2;562;110;145;148;159;434.79999999999995;787;1.8100275988960444;4;3;75.0;False;0.0;3;75.0;Acceso Bueno;True;True;['infantil_i_ciclo']
28175;2022-2023;Villamantilla;1;394;59;94;143;98;315.6;272;0.8618504435994929;4;1;25.0;False;43.60000000000002;3;75.0;Acceso Bueno;True;True;['infantil_i_ciclo']
28069;2022-2023;La Hiruela;2;8;5;3;0;0;8.0;314;39.25;3;3;100.0;True;0.0;4;100.0;Acceso Completo;True;True;[]
28110;2022-2023;Perales de Tajuña;7;660;130;167;172;191;507.19999999999993;3207;6.322949526813881;4;3;75.0;False;0.0;4;100.0;Acceso Completo;True;True;[]
28120;2022-2023;Rascafría;3;217;42;51;56;68;162.60000000000002;699;4.298892988929889;4;3;75.0;False;0.0;4;100.0;Acceso Completo;True;True;[]
28125;2022-2023;Robledo de Chavela;3;863;156;160;238;309;615.8;548;0.8898993179603768;4;1;25.0;False;67.79999999999995;4;100.0;Acceso Completo;True;True;[]
28140;2022-2023;Serranillos del Valle;4;1068;179;276;298;315;816.0;1558;1.9093137254901962;4;1;25.0;False;0.0;4;100.0;Acceso Completo;True;True;[]
28107;2022-2023;Patones;2;95;22;29;22;22;77.4;561;7.2480620155038755;4;3;75.0;False;0.0;3;75.0;Acceso Bueno;True;True;['infantil_i_ciclo']
